level_0,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status
5542,1158,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,29,100m Backstroke,Women 21-99,00:00.00,24/05/2024 10:49:00,5,5,/LeagueTable/AthleticsDisciplineResults/49246?isModal=True,1,1,5,2024-05-24 00:00:00,2024,10:49:00,Passed
5543,1159,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,30,100m Backstroke,Men 21-99,00:00.00,24/05/2024 10:52:00,4,4,/LeagueTable/AthleticsDisciplineResults/49228?isModal=True,1,1,4,2024-05-24 00:00:00,2024,10:52:00,Passed
5544,1160,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,31,50m Butterfly,Girls 10-15,00:00.00,24/05/2024 11:15:00,9,9,/LeagueTable/AthleticsDisciplineResults/49209?isModal=True,1,1,9,2024-05-24 00:00:00,2024,11:15:00,Passed
5545,1161,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,32,50m Butterfly,,00:00.00,24/05/2024 11:18:00,15,15,/LeagueTable/AthleticsDisciplineResults/49218?isModal=True,1,1,15,2024-05-24 00:00:00,2024,11:18:00,Passed
5546,1162,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,33,50m Butterfly,Women 16-20,00:00.00,24/05/2024 11:22:30,2,2,/LeagueTable/AthleticsDisciplineResults/49245?isModal=True,1,1,2,2024-05-24 00:00:00,2024,11:22:30,Passed
5547,1163,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,34,50m Butterfly,Man 16-20,00:00.00,24/05/2024 11:24:00,4,4,/LeagueTable/AthleticsDisciplineResults/49227?isModal=True,1,1,4,2024-05-24 00:00:00,2024,11:24:00,Passed
5548,1164,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,35,50m Butterfly,Women 21-99,00:00.00,24/05/2024 11:25:30,6,6,/LeagueTable/AthleticsDisciplineResults/49254?isModal=True,1,1,6,2024-05-24 00:00:00,2024,11:25:30,Passed
5549,1165,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,36,50m Butterfly,Men 21-99,00:00.00,24/05/2024 11:27:00,9,9,/LeagueTable/AthleticsDisciplineResults/49236?isModal=True,1,1,9,2024-05-24 00:00:00,2024,11:27:00,Passed
5550,1166,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,37,100m Individual Medley,Girls 10-15,00:00.00,24/05/2024 11:30:00,7,7,/LeagueTable/AthleticsDisciplineResults/49203?isModal=True,1,1,7,2024-05-24 00:00:00,2024,11:30:00,Passed
5551,1167,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,38,100m Individual Medley,,00:00.00,24/05/2024 11:32:30,19,19,/LeagueTable/AthleticsDisciplineResults/49212?isModal=True,1,1,19,2024-05-24 00:00:00,2024,11:32:30,Passed
5552,1168,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,39,100m Individual Medley,Women 16-20,00:00.00,24/05/2024 11:40:00,1,1,/LeagueTable/AthleticsDisciplineResults/49239?isModal=True,1,1,1,2024-05-24 00:00:00,2024,11:40:00,Passed
5554,1170,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,41,100m Individual Medley,Women 21-99,00:00.00,24/05/2024 11:42:30,9,9,/LeagueTable/AthleticsDisciplineResults/49248?isModal=True,1,1,9,2024-05-24 00:00:00,2024,11:42:30,Passed
5555,1171,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,42,100m Individual Medley,Men 21-99,00:00.00,24/05/2024 11:48:30,14,14,/LeagueTable/AthleticsDisciplineResults/49230?isModal=True,1,1,14,2024-05-24 00:00:00,2024,11:48:30,Passed
5556,1172,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,43,100m Breaststroke,Girls 10-15,00:00.00,24/05/2024 11:54:30,8,8,/LeagueTable/AthleticsDisciplineResults/49202?isModal=True,1,1,8,2024-05-24 00:00:00,2024,11:54:30,Passed
5557,1173,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,44,100m Breaststroke,,00:00.00,24/05/2024 11:59:30,14,14,/LeagueTable/AthleticsDisciplineResults/49211?isModal=True,1,1,14,2024-05-24 00:00:00,2024,11:59:30,Passed
5558,1174,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,45,100m Breaststroke,Women 16-20,00:00.00,24/05/2024 12:04:30,1,1,/LeagueTable/AthleticsDisciplineResults/49238?isModal=True,1,1,1,2024-05-24 00:00:00,2024,12:04:30,Passed
5559,1175,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,46,100m Breaststroke,Man 16-20,00:00.00,24/05/2024 12:07:00,2,2,/LeagueTable/AthleticsDisciplineResults/49220?isModal=True,1,1,2,2024-05-24 00:00:00,2024,12:07:00,Passed
5560,1176,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,47,100m Breaststroke,Women 21-99,00:00.00,24/05/2024 12:09:30,7,7,/LeagueTable/AthleticsDisciplineResults/49247?isModal=True,1,1,7,2024-05-24 00:00:00,2024,12:09:30,Passed
5561,1177,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,48,100m Breaststroke,Men 21-99,00:00.00,24/05/2024 12:12:30,5,5,/LeagueTable/AthleticsDisciplineResults/49229?isModal=True,1,1,5,2024-05-24 00:00:00,2024,12:12:30,Passed
5562,1178,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,49,50m Freestyle,Girls 10-15,00:00.00,24/05/2024 12:15:30,30,29,/LeagueTable/AthleticsDisciplineResults/49207?isModal=True,1,1,29,2024-05-24 00:00:00,2024,12:15:30,Passed
5563,1179,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,50,50m Freestyle,,00:00.00,24/05/2024 12:23:00,40,39,/LeagueTable/AthleticsDisciplineResults/49216?isModal=True,1,1,39,2024-05-24 00:00:00,2024,12:23:00,Passed
5564,1180,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,51,50m Freestyle,Women 16-20,00:00.00,24/05/2024 12:32:00,5,5,/LeagueTable/AthleticsDisciplineResults/49243?isModal=True,1,1,5,2024-05-24 00:00:00,2024,12:32:00,Passed
5565,1181,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,52,50m Freestyle,Man 16-20,00:00.00,24/05/2024 12:33:30,4,4,/LeagueTable/AthleticsDisciplineResults/49225?isModal=True,1,1,4,2024-05-24 00:00:00,2024,12:33:30,Passed
5566,1182,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,53,50m Freestyle,Women 21-99,00:00.00,24/05/2024 12:35:00,9,9,/LeagueTable/AthleticsDisciplineResults/49252?isModal=True,1,1,9,2024-05-24 00:00:00,2024,12:35:00,Passed
5567,1183,גביע קרן טנדלר,comp.asp?compID=1528,72,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10441,54,50m Freestyle,Men 21-99,00:00.00,24/05/2024 12:38:00,12,12,/LeagueTable/AthleticsDisciplineResults/49234?isModal=True,1,1,12,2024-05-24 00:00:00,2024,12:38:00,Passed
5569,1185,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,1,400m Freestyle,Women 13-99,00:00.00,24/05/2024 14:00:00,11,11,/LeagueTable/AthleticsDisciplineResults/50221?isModal=True,1,1,11,2024-05-24 00:00:00,2024,14:00:00,Passed
5570,1186,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,2,400m Freestyle,Men 13-99,00:00.00,24/05/2024 14:13:00,25,25,/LeagueTable/AthleticsDisciplineResults/50215?isModal=True,1,1,25,2024-05-24 00:00:00,2024,14:13:00,Passed
5571,1187,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,3,200m Individual Medley,Women 13-99,00:00.00,24/05/2024 14:39:00,8,8,/LeagueTable/AthleticsDisciplineResults/50220?isModal=True,1,1,8,2024-05-24 00:00:00,2024,14:39:00,Passed
5572,1188,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,4,200m Individual Medley,Men 13-99,00:00.00,24/05/2024 14:42:30,16,15,/LeagueTable/AthleticsDisciplineResults/50214?isModal=True,1,1,15,2024-05-24 00:00:00,2024,14:42:30,Passed
5573,1189,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,5,100m Butterfly,Women 13-99,00:00.00,24/05/2024 14:49:30,9,8,/LeagueTable/AthleticsDisciplineResults/50218?isModal=True,1,1,8,2024-05-24 00:00:00,2024,14:49:30,Passed
5574,1190,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,6,100m Butterfly,Men 13-99,00:00.00,24/05/2024 14:51:30,25,25,/LeagueTable/AthleticsDisciplineResults/50212?isModal=True,1,1,25,2024-05-24 00:00:00,2024,14:51:30,Passed
5575,1191,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,7,200m Breaststroke,Women 13-99,00:00.00,24/05/2024 14:59:30,7,7,/LeagueTable/AthleticsDisciplineResults/50219?isModal=True,1,1,7,2024-05-24 00:00:00,2024,14:59:30,Passed
5576,1192,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,8,200m Breaststroke,Men 13-99,00:00.00,24/05/2024 15:03:30,15,15,/LeagueTable/AthleticsDisciplineResults/50213?isModal=True,1,1,15,2024-05-24 00:00:00,2024,15:03:30,Passed
5577,1193,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,9,100m Backstroke,Women 13-99,00:00.00,24/05/2024 15:11:30,16,16,/LeagueTable/AthleticsDisciplineResults/50216?isModal=True,1,1,16,2024-05-24 00:00:00,2024,15:11:30,Passed
5578,1194,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,10,100m Backstroke,Men 13-99,00:00.00,24/05/2024 15:15:30,28,27,/LeagueTable/AthleticsDisciplineResults/50210?isModal=True,1,1,27,2024-05-24 00:00:00,2024,15:15:30,Passed
5579,1195,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,11,100m Freestyle,Women 13-99,00:00.00,24/05/2024 15:23:30,21,21,/LeagueTable/AthleticsDisciplineResults/50217?isModal=True,1,1,21,2024-05-24 00:00:00,2024,15:23:30,Passed
5580,1196,ליגה צפונית נוער ובוגרים 1 - מכבי חיפה,comp.asp?compID=1529,73,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10608,12,100m Freestyle,Men 13-99,00:00.00,24/05/2024 15:29:30,34,34,/LeagueTable/AthleticsDisciplineResults/50211?isModal=True,1,1,34,2024-05-24 00:00:00,2024,15:29:30,Passed
5581,1197,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,1,50m Backstroke,,00:00.00,09/06/2024 16:45:00,9,9,/LeagueTable/AthleticsDisciplineResults/52035?isModal=True,1,1,9,2024-06-09 00:00:00,2024,16:45:00,Passed
5582,1198,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,2,50m Backstroke,,00:00.00,09/06/2024 16:49:00,14,14,/LeagueTable/AthleticsDisciplineResults/52039?isModal=True,1,1,14,2024-06-09 00:00:00,2024,16:49:00,Passed
5583,1199,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,3,50m Butterfly,,00:00.00,09/06/2024 16:53:00,7,7,/LeagueTable/AthleticsDisciplineResults/52038?isModal=True,1,1,7,2024-06-09 00:00:00,2024,16:53:00,Passed
5584,1200,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,4,50m Butterfly,,00:00.00,09/06/2024 16:55:00,10,10,/LeagueTable/AthleticsDisciplineResults/52042?isModal=True,1,1,10,2024-06-09 00:00:00,2024,16:55:00,Passed
5585,1201,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,5,50m Breaststroke,,00:00.00,09/06/2024 16:59:00,10,10,/LeagueTable/AthleticsDisciplineResults/52037?isModal=True,1,1,10,2024-06-09 00:00:00,2024,16:59:00,Passed
5586,1202,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,6,50m Breaststroke,,00:00.00,09/06/2024 17:03:00,12,12,/LeagueTable/AthleticsDisciplineResults/52041?isModal=True,1,1,12,2024-06-09 00:00:00,2024,17:03:00,Passed
5587,1203,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,7,50m Freestyle,,00:00.00,09/06/2024 17:07:00,26,26,/LeagueTable/AthleticsDisciplineResults/52036?isModal=True,1,1,26,2024-06-09 00:00:00,2024,17:07:00,Passed
5588,1204,תחרות איזורית ערבה,comp.asp?compID=1536,74,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10682,8,50m Freestyle,,00:00.00,09/06/2024 17:15:00,26,26,/LeagueTable/AthleticsDisciplineResults/52040?isModal=True,1,1,26,2024-06-09 00:00:00,2024,17:15:00,Passed
5589,1205,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,1,50m Freestyle,Girls 8-14,00:00.00,31/05/2024 14:30:00,71,71,/LeagueTable/AthleticsDisciplineResults/51606?isModal=True,1,1,71,2024-05-31 00:00:00,2024,14:30:00,Passed
5590,1206,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,2,50m Freestyle,Boys 8-14,00:00.00,31/05/2024 14:43:30,88,87,/LeagueTable/AthleticsDisciplineResults/51611?isModal=True,1,1,87,2024-05-31 00:00:00,2024,14:43:30,Passed
5591,1207,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,3,200m Butterfly,Girls 8-14,00:00.00,31/05/2024 15:00:00,3,3,/LeagueTable/AthleticsDisciplineResults/51604?isModal=True,1,1,3,2024-05-31 00:00:00,2024,15:00:00,Passed
5592,1208,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,4,200m Butterfly,Boys 8-14,00:00.00,31/05/2024 15:04:00,9,9,/LeagueTable/AthleticsDisciplineResults/51609?isModal=True,1,1,9,2024-05-31 00:00:00,2024,15:04:00,Passed
5593,1209,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,5,100m Backstroke,Girls 8-14,00:00.00,31/05/2024 15:12:00,39,39,/LeagueTable/AthleticsDisciplineResults/51602?isModal=True,1,1,39,2024-05-31 00:00:00,2024,15:12:00,Passed
5594,1210,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,6,100m Backstroke,Boys 8-14,00:00.00,31/05/2024 15:27:00,72,70,/LeagueTable/AthleticsDisciplineResults/51607?isModal=True,1,1,70,2024-05-31 00:00:00,2024,15:27:00,Passed
5595,1211,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,7,200m Breaststroke,Girls 8-14,00:00.00,31/05/2024 15:49:30,15,15,/LeagueTable/AthleticsDisciplineResults/51603?isModal=True,1,1,15,2024-05-31 00:00:00,2024,15:49:30,Passed
5596,1212,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,8,200m Breaststroke,Boys 8-14,00:00.00,31/05/2024 15:59:30,16,16,/LeagueTable/AthleticsDisciplineResults/51608?isModal=True,1,1,16,2024-05-31 00:00:00,2024,15:59:30,Passed
5597,1213,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,9,400m Freestyle,Girls 8-14,00:00.00,31/05/2024 16:08:30,12,12,/LeagueTable/AthleticsDisciplineResults/51605?isModal=True,1,1,12,2024-05-31 00:00:00,2024,16:08:30,Passed
5598,1214,ליגה צפונית צעירים 4 - מכבי חיפה,comp.asp?compID=1530,75,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10609,10,400m Freestyle,Boys 8-14,00:00.00,31/05/2024 16:22:30,44,44,/LeagueTable/AthleticsDisciplineResults/51610?isModal=True,1,1,44,2024-05-31 00:00:00,2024,16:22:30,Passed
5599,1215,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,1,1500m Freestyle,Women 12-99,00:00.00,24/05/2024 15:15:00,1,1,/LeagueTable/AthleticsDisciplineResults/51635?isModal=True,1,1,1,2024-05-24 00:00:00,2024,15:15:00,Passed
5600,1216,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,2,1500m Freestyle,Men 12-99,00:00.00,24/05/2024 15:15:00,3,3,/LeagueTable/AthleticsDisciplineResults/51617?isModal=True,1,1,3,2024-05-24 00:00:00,2024,15:15:00,Passed
5601,1217,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,3,50m Breaststroke,Women 12-99,00:00.00,24/05/2024 15:37:00,2,2,/LeagueTable/AthleticsDisciplineResults/51645?isModal=True,1,1,2,2024-05-24 00:00:00,2024,15:37:00,Passed
5602,1218,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,4,50m Breaststroke,Men 12-99,00:00.00,24/05/2024 15:38:00,7,7,/LeagueTable/AthleticsDisciplineResults/51627?isModal=True,1,1,7,2024-05-24 00:00:00,2024,15:38:00,Passed
5603,1219,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,5,200m Backstroke,Women 12-99,00:00.00,24/05/2024 15:40:00,5,4,/LeagueTable/AthleticsDisciplineResults/51636?isModal=True,1,1,4,2024-05-24 00:00:00,2024,15:40:00,Passed
5604,1220,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,6,200m Backstroke,Men 12-99,00:00.00,24/05/2024 15:45:00,7,6,/LeagueTable/AthleticsDisciplineResults/51618?isModal=True,1,1,6,2024-05-24 00:00:00,2024,15:45:00,Passed
5605,1221,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,7,100m Butterfly,Women 12-99,00:00.00,24/05/2024 15:55:00,8,8,/LeagueTable/AthleticsDisciplineResults/51634?isModal=True,1,1,8,2024-05-24 00:00:00,2024,15:55:00,Passed
5606,1222,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,8,100m Butterfly,Men 12-99,00:00.00,24/05/2024 16:00:00,8,8,/LeagueTable/AthleticsDisciplineResults/51616?isModal=True,1,1,8,2024-05-24 00:00:00,2024,16:00:00,Passed
5608,1224,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,10,400m Freestyle,Men 12-99,00:00.00,24/05/2024 16:05:00,3,3,/LeagueTable/AthleticsDisciplineResults/51623?isModal=True,1,1,3,2024-05-24 00:00:00,2024,16:05:00,Passed
5609,1225,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,11,50m Backstroke,Women 12-99,00:00.00,24/05/2024 16:11:00,4,3,/LeagueTable/AthleticsDisciplineResults/51643?isModal=True,1,1,3,2024-05-24 00:00:00,2024,16:11:00,Passed
5610,1226,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,12,50m Backstroke,Men 12-99,00:00.00,24/05/2024 16:12:30,8,8,/LeagueTable/AthleticsDisciplineResults/51625?isModal=True,1,1,8,2024-05-24 00:00:00,2024,16:12:30,Passed
5611,1227,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,13,200m Butterfly,Women 12-99,00:00.00,24/05/2024 16:15:30,3,3,/LeagueTable/AthleticsDisciplineResults/51640?isModal=True,1,1,3,2024-05-24 00:00:00,2024,16:15:30,Passed
5612,1228,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,14,200m Butterfly,Men 12-99,00:00.00,24/05/2024 16:19:30,5,5,/LeagueTable/AthleticsDisciplineResults/51622?isModal=True,1,1,5,2024-05-24 00:00:00,2024,16:19:30,Passed
5613,1229,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,15,100m Freestyle,Women 12-99,00:00.00,24/05/2024 16:23:00,9,8,/LeagueTable/AthleticsDisciplineResults/51631?isModal=True,1,1,8,2024-05-24 00:00:00,2024,16:23:00,Passed
5614,1230,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,16,100m Freestyle,Men 12-99,00:00.00,24/05/2024 16:28:00,20,20,/LeagueTable/AthleticsDisciplineResults/51613?isModal=True,1,1,20,2024-05-24 00:00:00,2024,16:28:00,Passed
5615,1231,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,17,200m Breaststroke,Women 12-99,00:00.00,24/05/2024 16:38:00,7,7,/LeagueTable/AthleticsDisciplineResults/51638?isModal=True,1,1,7,2024-05-24 00:00:00,2024,16:38:00,Passed
5616,1232,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,18,200m Breaststroke,Men 12-99,00:00.00,24/05/2024 16:46:00,6,6,/LeagueTable/AthleticsDisciplineResults/51620?isModal=True,1,1,6,2024-05-24 00:00:00,2024,16:46:00,Passed
5617,1233,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,19,50m Freestyle,Women 12-99,00:00.00,24/05/2024 16:49:30,8,8,/LeagueTable/AthleticsDisciplineResults/51644?isModal=True,1,1,8,2024-05-24 00:00:00,2024,16:49:30,Passed
5618,1234,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,20,50m Freestyle,Men 12-99,00:00.00,24/05/2024 16:51:30,21,21,/LeagueTable/AthleticsDisciplineResults/51626?isModal=True,1,1,21,2024-05-24 00:00:00,2024,16:51:30,Passed
5619,1235,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,21,200m Individual Medley,Women 12-99,00:00.00,24/05/2024 16:55:30,6,6,/LeagueTable/AthleticsDisciplineResults/51639?isModal=True,1,1,6,2024-05-24 00:00:00,2024,16:55:30,Passed
5620,1236,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,22,200m Individual Medley,Men 12-99,00:00.00,24/05/2024 16:59:30,8,8,/LeagueTable/AthleticsDisciplineResults/51621?isModal=True,1,1,8,2024-05-24 00:00:00,2024,16:59:30,Passed
5621,1237,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,23,100m Backstroke,Women 12-99,00:00.00,24/05/2024 17:07:30,12,10,/LeagueTable/AthleticsDisciplineResults/51630?isModal=True,1,1,10,2024-05-24 00:00:00,2024,17:07:30,Passed
5622,1238,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,24,100m Backstroke,Men 12-99,00:00.00,24/05/2024 17:12:30,10,8,/LeagueTable/AthleticsDisciplineResults/51612?isModal=True,1,1,8,2024-05-24 00:00:00,2024,17:12:30,Passed
5623,1239,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,25,800m Freestyle,Women 12-99,00:00.00,24/05/2024 17:17:30,2,2,/LeagueTable/AthleticsDisciplineResults/51647?isModal=True,1,1,2,2024-05-24 00:00:00,2024,17:17:30,Passed
5624,1240,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,26,800m Freestyle,Men 12-99,00:00.00,24/05/2024 17:17:00,1,1,/LeagueTable/AthleticsDisciplineResults/51629?isModal=True,1,1,1,2024-05-24 00:00:00,2024,17:17:00,Passed
5625,1241,ליגה אזורית עמק חפר,comp.asp?compID=1531,76,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10610,27,50m Butterfly,Women 12-99,00:00.00,24/05/2024 17:28:00,9,9,/LeagueTable/AthleticsDisciplineResults/51646?isModal=True,1,1,9,2024-05-24 00:00:00,2024,17:28:00,Passed
